"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO Turbiedad","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Temp. ambiente","Acidez total","Dureza de calcio","Sólidos totales","Nitrógeno total","fecha","año","mes","est"
20,6.8,5.63,455,14,176.81,22.38,127.04,0.38,3.84,0.212,4.74,5.27,17.62,0.16,4.14,24.3,5.14,1.43,21,276,0.1,0.1,1.97,0.0025,0.1,58000,0.05,0.05,1.188,0.309,5e-04,0.1,102,22,0.02,4600,4600,31,10.45,72.52,297,9.32,2020-10-09,"2020","10","RZ-02"
23,7,6.66,529,65,164.1,29.91,130.78,0.7,5.13,0.214,1.05,3.39,80,0.11,4.07,22.78,5.14,1.34,73,398,0.1,0.1,5.68,4300,0.184,55000,0.05,0.05,4.531,0.392,5e-04,0.1,111,41.3,0.02,46000,15000,27,13.18,92.71,471,8.73,2020-10-13,"2020","10","RL-02"
25,7,6.9,303,140,113.57,12.17,92.23,0.44,2.12,0.01,0.99,2.98,42.09,0.1,7.56,38.69,5.14,1.04,113,304,0.1,0.12,19.5,0.0025,0.17,5e-04,0.05,0.05,7.378,0.189,5e-04,0.1,8000,17.7,0.04,4600,430,29,8.19,53.31,417,5.1,2020-10-13,"2020","10","RL-01"
25,8.1,6.71,942,38,344.35,60.42,218.29,1.35,0.1,0.01,0.5,3.04,101.57,0.1,5.26,47.12,8.99,0.48,55,596,0.1,0.63,3.27,179,0.23,80000,0.05,0.05,2.054,650,5e-04,0.1,143,91.6,0.02,24000,4300,31,2,119.36,651,3.04,2020-10-13,"2020","10","CS-01"
14,7,5.3,687,5.1,285.04,31.16,141.64,0.44,0.1,0.01,19.93,24.34,35.05,3.57,12,48.61,5.14,3.24,23,349,0.1,0.31,1.07,0.0025,0.148,59000,0.05,0.05,0.82,0.301,5e-04,0.1,5900,41.6,0.02,460000,240000,23,25.65,69.54,372,24.44,2020-11-20,"2020","11","RZ-05"
15,7.1,7.7,419,5.1,141.57,19.74,147.54,0.33,11.53,0.114,0.82,1.12,22.57,0.25,1.94,56.54,5.14,1.61,22,303,0.1,0.1,1.635,0.0025,980,68000,0.05,0.05,0.491,0.05,5e-04,0.1,5600,24.2,0.02,46000,240000,23,12.82,70.53,325,12.76,2020-11-20,"2020","11","RZ-04"
17,6.8,5.8,460,6.8,174.73,19.69,138.29,0.39,5.3,0.01,0.88,2.82,21.8,0.23,3.26,18,5.14,1.2,25,309,0.1,0.1,1.535,0.0025,980,81000,0.05,0.05,0.705,840,5e-04,0.1,5500,26.3,0.02,46000,46000,24,12.14,82.74,334,8.12,2020-11-20,"2020","11","RZ-03"
19,7.5,3.77,846,12,285.04,45.23,178.23,2.59,0.72,0.01,2.47,3.41,101.03,0.12,6.11,22.14,5.82,1.99,25,529,0.1,0.31,2.42,0.0025,0.187,97000,0.05,0.05,0.857,0.17,5e-04,0.1,103,84.4,0.02,110000,110000,20,18.04,115.25,554,4.13,2020-11-19,"2020","11","RL-02"
20,7,6.72,427,37,168,19.55,116.06,0.57,0.37,0.01,0.76,1.58,37.9,0.1,3.74,19.19,15.23,0.64,52,295,0.1,0.1,4.86,0.0025,0.165,72000,0.05,0.05,2.863,0.113,5e-04,0.1,7400,33.5,0.02,11000,4600,22,16.42,68.75,347,1.96,2020-11-19,"2020","11","RL-01"
20,8.1,6.95,977,39,349.62,60.6,229.38,1.37,0.1,0.01,0.5,1.94,97.43,0.1,3.85,27.55,8.6,0.54,41,632,0.1,0.1,2.98,2800,0.186,61000,0.05,0.5,2.165,700,5e-04,0.1,107,111.4,0.02,1100000,1100000,24,17.01,137.51,673,1.94,2020-11-19,"2020","11","CS-01"
15,6.9,5.18,691,5.3,277.5,31.54,121.02,0.35,0.1,0.01,23.51,28.02,37.94,3.4,15.96,69.94,14.99,3.82,8,363,0.1,0.59,0.815,0.0025,0.132,5e-04,0.05,0.05,0.676,0.335,5e-04,0.1,6000,43.3,210,460000,240000,25,16.19,76.44,371,28.02,2020-12-08,"2020","12","RZ-05"
16,6.9,7.85,422,4.2,139.09,19.23,121.81,0.43,17.11,0.254,0.59,2.79,14.42,0.22,2.06,18.85,26.07,1.79,10,288,0.1,0.1,0.675,0.0025,0.118,5e-04,0.05,0.05,0.479,0.05,55000,0.1,4700,24.9,0.02,4600,2400,27,6.34,73.28,298,20.15,2020-12-08,"2020","12","RZ-04"
18,6.9,7.21,492,4.7,192.16,25.36,143.06,0.34,4.95,0.439,1.78,2.43,26.34,0.2,4.33,35.22,9.49,1.38,7,321,0.1,0.1,0.775,9600,830,5e-04,0.05,0.05,0.471,700,5e-04,0.1,5400,31.4,0.02,110000,24000,27,8.8,84.71,321,7.82,2020-12-08,"2020","12","RZ-03"
20,7.6,3.64,1060,9.9,363.5,61.86,212.52,1.56,0.1,120,3.98,10.09,112.21,0.37,11.79,61.01,5.14,2.41,29,669,0.1,0.27,1.205,103,0.21,70000,0.05,0.05,0.559,0.198,52000,0.1,118,110.5,0.02,1100000,1100000,21,10.56,125.49,698,10.1,2020-12-09,"2020","12","RL-02"
20,6.9,7.24,435,31.5,182.91,20.45,114.72,0.52,0.32,220,2.37,4.81,41.14,0.79,3.39,66.46,23.33,0.72,50,290,0.1,0.1,9.62,3400,0.167,5e-04,0.05,0.05,2.371,0.105,5e-04,0.1,7000,36.4,230,4600,2400,24,10.56,62.84,340,5.15,2020-12-09,"2020","12","RL-01"
22,8,5.73,1014,29,352,60.83,224.33,1.63,0.11,160,0.5,0.59,113.62,0.1,16.5,24.8,9.96,0.97,51,629,0.1,3,2.98,181,0.246,71000,0.05,0.05,1.602,0.05,54000,0.1,126,97,240,4600000,2400000,26,2,132.38,680,0.72,2020-12-09,"2020","12","CS-01"
12,7.1,4.43,748,5.9,298.45,36.8,117.1,0.37,0.1,0.01,27.95,30.19,43.03,4.2,22.2,72.65,5.14,4.89,14,370,0.1,0.61,0.98,0.0025,650,1800,0.05,0.05,0.517,0.266,5e-04,0.1,112,59.3,940,1.1e+07,1.1e+07,22,13.86,75.2,384,30.2,2021-01-18,"2021","1","RZ-05"
13,7,9.63,443,2.9,135.24,23.02,120.63,0.4,9.29,0.157,0.92,2.52,22.68,0.23,2.88,11.6,5.14,2.11,7,316,0.1,0.31,0.995,0.0025,580,76000,0.05,0.05,0.332,0.05,5e-04,0.1,7800,32.2,380,1100000,1100000,23,3.07,77.8,316,11.97,2021-01-18,"2021","1","RZ-04"
