"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO Turbiedad","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Temp. ambiente","Acidez total","Dureza de calcio","Sólidos totales","Nitrógeno total","Materia flotante","fecha","año","mes","est"
24,7.8,0,1367,6.2,458.2,111.58,183.6,0.89,0.1,0.022,0.54,3.8,200.66,0.41,5.17,94.6,9.89,0.19,15,855,0.1,0.27,0.594,7800,0.005,5e-04,0.05,0.05,0.437,0.167,60000,0.1,0.0025,129.2,750,2300,2300,28,,,870,3.8,,2009-06-30,"2009","6","RS-03"
23,7.66,2.16,1086,24.4,458.2,64.02,145.3,0.95,0.1,0.022,8.69,15.21,112.63,3.3,18.95,98.15,11.12,0.53,33,682,0.1,0.13,0.656,6100,0.005,5e-04,0.05,0.05,0.447,0.298,70000,0.1,0.0025,86.1,0.02,110000,110000,29,,,715,15.21,,2009-06-30,"2009","6","RS-04"
26,7.84,0.59,1077,7.3,504,68.06,141.5,1.08,0.1,380,7.6,13.04,103.48,1.21,12.42,79.3,7.5,0.22,23,653,0.1,0.11,0.279,5700,0.005,5e-04,0.05,0.05,0.245,0.306,60000,0.1,0.0025,84.8,0.02,240000,240000,26,,,676,13.078,,2009-06-30,"2009","6","RS-05"
24,7.96,5.89,1066,8.7,366.5,67.66,141.5,1.05,1.83,1.81,0.54,3.26,111.08,0.46,14.58,100.5,8.96,12.58,21,665,0.1,0.1,0.383,5400,0.005,5e-04,0.05,0.05,0.289,0.138,70000,0.1,0.0025,90.6,0.02,110000,110000,28,,,686,6.9,,2009-06-30,"2009","6","RS-06"
26.5,7.47,3.54,799,63.7,297.8,51.21,76.5,2.14,0.1,0.199,3.26,11.4,109.76,6.35,42.72,134.66,20.52,1.69,113,507,0.8,0.12,4.445,137,0.005,195,0.05,0.05,2.135,0.131,60000,0.1,0.0025,76.5,620,240000,240000,32,,,620,11.599,,2009-06-30,"2009","6","RS-07"
26,7.65,6.09,684,34.3,274.9,42.07,59.3,1.89,0.84,0.553,4.89,8.69,91.07,0.19,11.61,65.96,8.52,1.68,108,439,0.9,0.1,2.929,119,0.005,125,0.05,0.05,1.919,0.103,60000,0.1,0.0025,61.5,0.02,240000,240000,26,,,547,10.083,,2009-06-30,"2009","6","RS-08"
27,7.52,2.36,908,49.7,366.6,58.53,110.9,1.26,0.1,140,8.15,13.58,94.33,1.08,9.93,53,3.19,0.12,51,547,0.2,1.11,2.559,9200,0.005,3800,0.05,0.05,2.165,0.7,5e-04,0.1,0.0025,74.3,0.02,23000,23000,27,,,598,13.594,,2009-06-30,"2009","6","RS-09"
27.5,7.56,4.91,828,89.3,320.7,58.53,99.4,1.2,1.83,0.919,3.8,9.23,90.45,0.22,7.03,48.68,,0.23,152,548,0.3,0.1,5.35,149,0.005,1600,0.05,0.05,3.605,0.408,70000,0.1,0.0025,71.2,0.02,9000,9000,21,,,700,11.979,,2009-06-30,"2009","6","RS-RS-010"
22,7.6,0,1531,53.1,595.6,74.99,183.6,1.22,0.1,0.01,16.29,36.94,162.42,24.63,192,316.82,29.69,7.8,81,900,0.1,1.06,0.896,5800,0.005,5e-04,0.05,0.05,0.458,0.26,80000,0.1,0.0025,128.4,580,2.4e+07,2.4e+07,25,,,981,36.95,,2009-06-30,"2009","6","AA-0RS-01"
26,7.78,0,1123,33.7,504,60.36,149.1,1.19,0.1,0.022,9.77,23.29,100.76,5.47,43.32,146.44,15.51,1.06,53,695,0.1,0.14,0.298,0.0025,0.005,5e-04,0.05,0.05,0.26,0.297,80000,0.1,0.0025,87.8,670,2.4e+07,2.4e+07,28,,,748,23.29,,2009-06-30,"2009","6","AA-0RS-02"
